metric_item_label,metric_cat_label,metric_item_label_subtitle,metric_cat_item_yaxis_label,geo_label_city,geo_label_state,geo_fips_code,value,date_label,geo_label_proxy_or_real,value_95_ci_low,value_95_ci_high,geo_strata_region,geo_strata_poverty,geo_strata_Population,geo_strata_PopDensity,geo_strata_Segregation,strata_race_label,strata_sex_label,persons_or_years
7.0,0.0,7.0,1.0,24.0,16.0,4055.0,0.0009090993691,2010.0,1.0,0.0006259503571,0.001301625157,2.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0
6.0,1.0,10.0,1.0,9.0,9.0,2622.0,6.611925439e-05,2014.0,1.0,5.406997363e-05,8.029683462999999e-05,0.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0
10.0,0.0,8.0,1.0,13.0,5.0,1836.003,0.0005269921684,2010.0,1.0,0.0004787658433,0.0005791140862000001,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
7.0,0.0,7.0,1.0,4.0,4.0,1714.0,0.002391838595,2019.0,1.0,0.002339182012,0.0024454672189999998,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
5.0,4.0,5.0,1.0,12.0,20.0,4835.0,6.668528251999999e-05,2020.0,1.0,4.70701938e-05,9.269467204999999e-05,2.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0
7.0,0.0,7.0,1.0,21.0,10.0,2743.0,0.0009751713515,2018.0,1.0,0.0005246272036,0.00168509914,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0
4.0,3.0,4.0,1.0,22.0,14.0,3651.0,5.3126626999999994e-05,2014.0,1.0,4.600700154e-05,6.112927093e-05,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0
9.0,4.0,0.0,1.0,30.0,1.0,667.0,0.0001890983317,2014.0,1.0,0.00016695105900000002,0.00021461549430000002,3.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
4.0,3.0,4.0,1.0,4.0,4.0,1714.0,0.000101215458,2015.0,1.0,8.856537051e-05,0.0001157992033,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
9.0,4.0,0.0,1.0,20.0,22.0,5553.0,0.00036496495119999996,2010.0,1.0,0.0003180470694,0.0004176664112,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
3.0,0.0,3.0,1.0,32.0,21.0,5363.0,0.0006236974693,2017.0,1.0,0.0004235179159,0.0009012676168999999,3.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0
2.0,0.0,6.0,1.0,6.0,15.0,3918.0,0.002922737298,2012.0,1.0,0.002677629576,0.003186348415,0.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0
3.0,0.0,3.0,1.0,26.0,0.0,455.0,0.0001650900878,2014.0,1.0,0.000144265855,0.000188657001,3.0,0.0,0.0,1.0,1.0,4.0,1.0,0.0
12.0,4.0,11.0,1.0,29.0,1.0,666.0,3.778982036e-05,2019.0,1.0,2.528567551e-05,5.499228938e-05,3.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
14.0,1.0,9.0,1.0,8.0,2.0,820.0,0.00014015860630000001,2011.0,1.0,0.0001226906582,0.00015971426620000001,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
